timestamp,value
2023-08-31T14:55:33Z,50.0
2023-08-31T14:56:33Z,50.0
2023-08-31T19:53:03Z,50.0
2023-08-31T19:54:03Z,50.0
2023-08-31T19:55:03Z,50.0
2023-08-31T19:56:03Z,50.0
2023-08-31T19:57:03Z,50.0
2023-08-31T19:58:03Z,50.0
2023-08-31T19:59:03Z,50.0
2023-08-31T20:00:03Z,50.0
2023-08-31T20:01:03Z,50.0
2023-08-31T20:02:03Z,50.0
2023-08-31T20:03:03Z,50.0
2023-08-31T20:04:03Z,80.9
2023-08-31T20:05:03Z,50.0
2023-08-31T20:06:03Z,50.0
2023-08-31T20:07:03Z,50.0
2023-08-31T20:08:03Z,82.2
2023-08-31T20:09:03Z,50.0
2023-08-31T20:10:03Z,83.8
2023-08-31T20:11:03Z,50.0
2023-08-31T20:12:03Z,50.0
2023-08-31T20:13:03Z,86.6
2023-08-31T20:14:03Z,50.0
2023-08-31T20:15:03Z,50.0
2023-08-31T20:16:03Z,50.0
2023-08-31T20:17:03Z,50.0
2023-08-31T20:18:03Z,50.0
2023-08-31T20:19:03Z,50.0
2023-08-31T20:20:03Z,50.0
2023-08-31T20:21:03Z,50.0
2023-08-31T20:22:03Z,50.0
2023-08-31T20:23:03Z,50.0
